condition,w,sigma_d,seed,handoff,n_reached,w2
A0.03,0.4,0.05,3,2,200,0.05047762732091409
A0.03,0.4,0.05,4,1,200,0.05408065061025051
A0.03,0.4,0.05,4,2,200,0.052921496567360345
A0.03,0.4,0.1,0,1,200,0.03605129670592596
A0.03,0.4,0.1,0,2,200,0.042511302043175915
A0.03,0.4,0.1,1,1,200,0.03769089918617841
A0.03,0.4,0.1,1,2,200,0.04372734048857137
A0.03,0.4,0.1,2,1,200,0.033589786538226106
A0.03,0.4,0.1,2,2,200,0.04217761078235633
A0.03,0.4,0.1,3,1,200,0.04498600971945994
A0.03,0.4,0.1,3,2,200,0.05808686372555319
A0.03,0.4,0.1,4,1,200,0.04735758853031545
A0.03,0.4,0.1,4,2,200,0.04424143037098763
A0.1,0.1,0.0,0,1,200,0.11650590785375994
A0.1,0.1,0.0,0,2,200,0.11602805823585423
A0.1,0.1,0.0,1,1,200,0.1232934202831482
A0.1,0.1,0.0,1,2,200,0.13094402061770194
A0.1,0.1,0.0,2,1,200,0.11389618875009595
A0.1,0.1,0.0,2,2,200,0.12412241563070728
A0.1,0.1,0.0,3,1,200,0.10909822523665362
A0.1,0.1,0.0,3,2,200,0.11403961418816681
A0.1,0.1,0.0,4,1,200,0.1200385670659253
A0.1,0.1,0.0,4,2,200,0.09823500572789397
A0.1,0.1,0.02,0,1,200,0.11555579852772883
