penalty,lr,w,sigma_d,success,train_ret
1.0,0.0001,0.2,0.02,0.5849999785423279,-0.1317727181315422
1.0,0.0003,0.2,0.02,0.6049999594688416,-0.18369987338781357
10.0,0.0001,0.2,0.02,0.5550000071525574,-0.16458142697811126
10.0,0.0003,0.2,0.02,0.5649999976158142,-0.1823309202492237
