condition,rough,sigma_k,seed,handoff,w2
TRACK,mild,0.0,3,2,0.025931165758067032
TRACK,mild,0.0,4,1,0.02711967618144217
TRACK,mild,0.0,4,2,0.03094388150818692
TRACK,mild,0.03,0,1,0.029038226352336893
TRACK,mild,0.03,0,2,0.02399535537899938
TRACK,mild,0.03,1,1,0.023094041804790046
TRACK,mild,0.03,1,2,0.023891589665907084
TRACK,mild,0.03,2,1,0.023748613588828328
TRACK,mild,0.03,2,2,0.026580918509196215
TRACK,mild,0.03,3,1,0.020632502440930903
TRACK,mild,0.03,3,2,0.02625127227906605
TRACK,mild,0.03,4,1,0.01879713897073419
TRACK,mild,0.03,4,2,0.021802509746078533
TRACK,mild,0.06,0,1,0.020910643197018894
TRACK,mild,0.06,0,2,0.023604954777227113
TRACK,mild,0.06,1,1,0.01973627471597714
TRACK,mild,0.06,1,2,0.025117809964670747
TRACK,mild,0.06,2,1,0.02060746816242705
TRACK,mild,0.06,2,2,0.025120766741138792
TRACK,mild,0.06,3,1,0.02346561270827558
TRACK,mild,0.06,3,2,0.02718031009955721
TRACK,mild,0.06,4,1,0.019451410842969658
TRACK,mild,0.06,4,2,0.022931185425321205
TRACK,mild,0.1,0,1,0.03230746012877978
TRACK,mild,0.1,0,2,0.025127178953047107
TRACK,mild,0.1,1,1,0.026040986218017315
TRACK,mild,0.1,1,2,0.029785963921364875
TRACK,mild,0.1,2,1,0.03130256272370476
TRACK,mild,0.1,2,2,0.025113109010480805
TRACK,mild,0.1,3,1,0.0294237656474055
TRACK,mild,0.1,3,2,0.036992619375067724
TRACK,mild,0.1,4,1,0.02673568695478098
TRACK,mild,0.1,4,2,0.031167109229663842
TRACK,mild,0.15,0,1,0.05651122940825223
TRACK,mild,0.15,0,2,0.04437598374695113
TRACK,mild,0.15,1,1,0.05507410300799735
TRACK,mild,0.15,1,2,0.0656130985648597
TRACK,mild,0.15,2,1,0.07352965189961425
TRACK,mild,0.15,2,2,0.060830756459099015
TRACK,mild,0.15,3,1,0.06036577169852593
TRACK,mild,0.15,3,2,0.0722905347008623
TRACK,mild,0.15,4,1,0.05781074393504053
TRACK,mild,0.15,4,2,0.05517698077414175
TRACK,rough,0.0,0,1,0.021375098536126885
TRACK,rough,0.0,0,2,0.023406846250722948
TRACK,rough,0.0,1,1,0.019677748028731214
TRACK,rough,0.0,1,2,0.021253995707192663
TRACK,rough,0.0,2,1,0.025315599187853914
TRACK,rough,0.0,2,2,0.026149232225633583
TRACK,rough,0.0,3,1,0.024666857617655136
TRACK,rough,0.0,3,2,0.022077696185243002
TRACK,rough,0.0,4,1,0.019709429783644285
TRACK,rough,0.0,4,2,0.021937753426224463
TRACK,rough,0.03,0,1,0.02631646030306793
TRACK,rough,0.03,0,2,0.019306637507220063
TRACK,rough,0.03,1,1,0.02043510433830274
TRACK,rough,0.03,1,2,0.021299256793772984
TRACK,rough,0.03,2,1,0.024715721027641177
TRACK,rough,0.03,2,2,0.022030902722026506
TRACK,rough,0.03,3,1,0.02232170447652777
TRACK,rough,0.03,3,2,0.022003502437676497
TRACK,rough,0.03,4,1,0.01962426242033279
TRACK,rough,0.03,4,2,0.02173130313710104
TRACK,rough,0.06,0,1,0.022078285573853204
TRACK,rough,0.06,0,2,0.02042886170094713
TRACK,rough,0.06,1,1,0.023912381884690158
TRACK,rough,0.06,1,2,0.020497207971573363
TRACK,rough,0.06,2,1,0.019164504488072453
TRACK,rough,0.06,2,2,0.023517310081043914
TRACK,rough,0.06,3,1,0.020188005608511306
TRACK,rough,0.06,3,2,0.0220643815792056
TRACK,rough,0.06,4,1,0.02012803954253786
TRACK,rough,0.06,4,2,0.02046225177841456
TRACK,rough,0.1,0,1,0.02999073908230884
TRACK,rough,0.1,0,2,0.02409086519019984
TRACK,rough,0.1,1,1,0.031446221974121995
TRACK,rough,0.1,1,2,0.036263280694401524
TRACK,rough,0.1,2,1,0.03628634324242277
TRACK,rough,0.1,2,2,0.039366486476658
TRACK,rough,0.1,3,1,0.037745826743687434
TRACK,rough,0.1,3,2,0.038755589271032065
TRACK,rough,0.1,4,1,0.03418689802568997
TRACK,rough,0.1,4,2,0.0322817786765816
TRACK,rough,0.15,0,1,0.07384885102655267
TRACK,rough,0.15,0,2,0.06453694238929274
TRACK,rough,0.15,1,1,0.0722667738237142
TRACK,rough,0.15,1,2,0.07727278973467627
TRACK,rough,0.15,2,1,0.08879751816498292
TRACK,rough,0.15,2,2,0.09695710111282207
TRACK,rough,0.15,3,1,0.07987511633427351
TRACK,rough,0.15,3,2,0.0928461518173518
TRACK,rough,0.15,4,1,0.07555842961917418
TRACK,rough,0.15,4,2,0.06728488920518418
BRIDGE-plain,mild,0.0,0,1,0.046927771200224504
BRIDGE-plain,mild,0.0,0,2,0.0654462283345367
BRIDGE-plain,mild,0.0,1,1,0.04796940848335948
BRIDGE-plain,mild,0.0,1,2,0.06560141530429918
BRIDGE-plain,mild,0.0,2,1,0.035617842469201556
BRIDGE-plain,mild,0.0,2,2,0.06755910171497544
BRIDGE-plain,mild,0.0,3,1,0.04498825803035801
BRIDGE-plain,mild,0.0,3,2,0.06865361636163199
BRIDGE-plain,mild,0.0,4,1,0.03603665470586747
BRIDGE-plain,mild,0.0,4,2,0.0637778770417185
BRIDGE-plain,mild,0.03,0,1,0.03587008824386935
BRIDGE-plain,mild,0.03,0,2,0.059521161356350105
BRIDGE-plain,mild,0.03,1,1,0.041885271724874974
BRIDGE-plain,mild,0.03,1,2,0.05133811692583404
BRIDGE-plain,mild,0.03,2,1,0.03822524137649705
BRIDGE-plain,mild,0.03,2,2,0.054608934030727724
BRIDGE-plain,mild,0.03,3,1,0.048801326070913656
BRIDGE-plain,mild,0.03,3,2,0.06449467597010673
BRIDGE-plain,mild,0.03,4,1,0.039888339765405824
BRIDGE-plain,mild,0.03,4,2,0.06061569946163604
BRIDGE-plain,mild,0.06,0,1,0.05244165299597899
BRIDGE-plain,mild,0.06,0,2,0.0694188876733805
BRIDGE-plain,mild,0.06,1,1,0.04924923297951148
BRIDGE-plain,mild,0.06,1,2,0.06390646608237519
BRIDGE-plain,mild,0.06,2,1,0.05333917345228186
BRIDGE-plain,mild,0.06,2,2,0.08179180320464478
BRIDGE-plain,mild,0.06,3,1,0.060890166188742316
BRIDGE-plain,mild,0.06,3,2,0.07235691243387239
BRIDGE-plain,mild,0.06,4,1,0.0488962176318044
BRIDGE-plain,mild,0.06,4,2,0.06597317286486833
BRIDGE-plain,mild,0.1,0,1,0.09628672752138154
BRIDGE-plain,mild,0.1,0,2,0.11486247761658466
BRIDGE-plain,mild,0.1,1,1,0.08908153415292064
BRIDGE-plain,mild,0.1,1,2,0.1136134445541488
